Kind,Date,Event,Number
Lecture,19 January 2017,Turing Lecture: Artificial Intelligence and Public Services,424
Lecture,04 May 2017,Turing Lecture: Data Science for Medicine,360
Lecture,22 November 2016,Turing Lecture: Smarter Cities,342
Lecture,24 February 2017,Turing Lecture: The Role of Multi-Agent Learning in Artificial Intelligence Research at DeepMind,325
Lecture,02 November 2016,"Turing Lecture: Data Science, National Security and Systems Challenges",303
Lecture,05 December 2016,"Turing Lecture: Stats, Decision Making and Privacy",279
Lecture,19 January 2017,Turing Lecture: AI and Public services - Sir Mark Walport ,255
Workshop,08 July 2016,"The Intersection of Mathematics, Statistics and Computation",248
Lecture,02 November 2016,"Turing Lecture - Data Science, National Security and Systems Challenges",200
Lecture,24 February 2017,Turing Lecture: The Role of Multi-agent Learning in Artificial intelligence research ,174
Lecture,14 October 2016,"Turing Lecture: Big Data, Met Office and 21st Century Problems",168
External event,30 September 2016,Open Afternoon at The Alan Turing Institute,151
Lecture,22 November 2016,Turing Lecture - Smarter Cities,150
Lecture,05 December 2016,"Turing Lecture - Stats, Decision Making and Privacy ",150
Lecture,16 March 2016,The Turing Lectures: Statistics,131
Workshop,29 July 2016,Structured Dynamic Graphical Models & Scaling Multivariate Time Series,126
Workshop,01 March 2017,Algorithmic Trading: Perspectives from Mathematical Modelling ,115
External event,21 February 2017,City Analytics,105
Lecture,27 April 2016,The Turing Lectures: Computer Science,104
Workshop,21 February 2017,City Analytics working with Royal Society Open Science Journal,103
Lecture,13 April 2016,The Turing Lectures: Industrial and Commercial,102
Workshop,01 December 2016,"Society of Data Miners Practitioner Seminar:
Targeting crimes and criminals through data",101
Workshop,04 July 2016,Members Meeting,100
External event,18 October 2016,Welcome to The Alan Turing Institute,100
Workshop,28 March 2017,Exploring novel oppoprtunities for Data Science in cardiovascular research,96
Lecture,30 March 2016,The Turing Lectures: Ethics and Social Science,90
External event,22 February 2016,British Heart Foundation,85
Workshop,29 September 2016,Bayesian Network Meetup,75
Workshop,24 January 2017,"Bayesian Network Meetup 

",75
Workshop,01 November 2016,Cryptocurrencies Day,72
Workshop,03 November 2016,"Society of Data Miners Practitioner Seminar:
A Sneak Peek into how Sky’s Insight & Decision Science Team Science the Sh*t out of Stuff",68
Lecture,02 March 2016,The Turing Lectures: Mathematics,64
Workshop,23 March 2017,Computational and Statistical Aspects of Topological Data Analysis,63
Workshop,23 March 2017,Computational and Statistical Aspects of Topological Data Analysis Workshop,63
Workshop,28 March 2017,Exploring Novel Opportunities for Data Science in Cardiovascular Research,63
Conference,02 February 2017,Turing meets Crick,61
Workshop,02 February 2017,Turing meets Crick ,61
Conference,19 October 2016,Grace Hopper events by the Anita Borg Institute,60
Lecture,30 March 2016,Turing Lecture - Ethics and Social Sciences,60
Lecture,27 April 2016,Turing Lecture - Computer Science,60
Lecture,29 July 2016,Structured Dynamic Graphical Models & Scaling Multivariate Time Series,60
Lecture,30 May 2017,Turing Lecture: Algorithmic Accountability,53
Lecture,02 March 2016,Turing Lecture - Mathematics,50
Lecture,16 March 2016,Turing Lecture - Statistics,50
Lecture,13 April 2016,Turing Lecture - Industrial and Commercial ,50
Lecture,12 January 2017,What is the real catch of the world - and what are the things preventing us from seeing it? - Daniel Pauly and Dirk Zeller,50
Workshop,10 February 2016,High-Dimensional Statistical Models & Big Data: Methodology & Applications,50
Workshop,11 February 2016,High-Dimensional Statistical Models & Big Data: Methodology & Applications,50
Workshop,12 February 2016,High-Dimensional Statistical Models & Big Data: Methodology & Applications,50
Conference,12 December 2016,ATI & Helibronn Institute (week long),47
Workshop,28 March 2017,Exploring Novel Opportunities for Data Science in Cardiovascular Research ,47
Workshop,03 December 2015,Data Protection and Security at Scale,45
Workshop,07 December 2015,Big data and big problems in image-based healthcare technology,44
Workshop,08 December 2015,Big data and big problems in image-based healthcare technology,44
