Name,University,Role,Position
James Hetherington,The Alan Turing Institute, Research Software Engineering, Head of Research Software Engineering
Martin O'Reilly,The Alan Turing Institute, Research Software Engineering, Senior Research Software Engineer
James Geddes,The Alan Turing Institute, Research Software Engineering, Acting Head of Research Software Engineering
Radka Jersakova,The Alan Turing Institute, Research Software Engineering, Junior Data Scientist
May Yong,The Alan Turing Institute, Research Software Engineering, Research Software Engineer
Professor Andrew Blake,The Alan Turing Institute,Leadership,Research Director
Sir Alan Wilson,The Alan Turing Institute,Leadership,CEO
Howard Covington,The Alan Turing Institute,Leadership,Chair
Howard Covington (Chair of Trustees),The Alan Turing Institute,Leadership,Board of Trustees
Professor Peter Grindrod CBE,The Alan Turing Institute,Leadership,Board of Trustees
Professor Richard Kenway OBE,The Alan Turing Institute,Leadership,Board of Trustees
Dr Julie Maxton,The Alan Turing Institute,Leadership,Board of Trustees
Wendy Tan White,The Alan Turing Institute,Leadership,Board of Trustees
Professor Pam Thomas,The Alan Turing Institute,Leadership,Board of Trustees
Dr Neil Viner,The Alan Turing Institute,Leadership,Board of Trustees
Professor Patrick Wolfe,The Alan Turing Institute,Leadership,Board of Trustees
Professor Graham Cormode,The Alan Turing Institute,Leadership,University Liaison Directors
Professor David Pym,The Alan Turing Institute,Leadership,University Liaison Directors
Professor Jared Tanner,The Alan Turing Institute,Leadership,University Liaison Directors
Professor Chris Williams,The Alan Turing Institute,Leadership,University Liaison Directors
Prof Sinan Aral,The Alan Turing Institute,Leadership,Scientific Advisory Board
Sir Robert Devereux,The Alan Turing Institute,Leadership,Scientific Advisory Board
Dr Cynthia Dwork,The Alan Turing Institute,Leadership,Scientific Advisory Board
Dr Michael Kearns,The Alan Turing Institute,Leadership,Scientific Advisory Board
Dr. Mike Lynch OBE FRS FREng,The Alan Turing Institute,Leadership,Scientific Advisory Board
Prof Stéphane Mallat,The Alan Turing Institute,Leadership,Scientific Advisory Board
Prof Bin Yu,The Alan Turing Institute,Leadership,Scientific Advisory Board
Mark Briers,The Alan Turing Institute,Leadership,Strategic Programme Directors
Professor Mark Girolami FRSE,The Alan Turing Institute,Leadership,Strategic Programme Directors
