"Video title","Video id","Video length (minutes)","Video created","Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
"Professor Stéphane Mallat: ""High-Dimensional Learning and Deep Neural Networks""",nHXO43BqeQw,59.57,03/31/2016,27669,3053,9.1,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,25,0,5,2,1702,0.12,8,27,29.63,1702,31,32,1,0,3,3,44,0,118,125,7,30,32,2,461
"Professor Luciano Floridi: ""Ethics in the Age of Information""",lLH70qkROWQ,74.78,03/31/2016,25773,2231,11.6,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,17,0,4,1,963,0.1,7,33,21.21,963,28,31,3,1,1,0,26,2,77,86,9,25,25,0,430
"The Role of Multi-Agent Learning in Artificial Intelligence Research at DeepMind",CvL-KV3IBcM,62.2,03/09/2017,24468,2924,8.4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,55,0,10,0,12,0,0,12,0,12,39,43,4,0,1,1,42,1,113,127,14,46,46,0,408
"Professor Mark Girolami: ""Probabilistic Numerical Computation: A New Concept?""",Z3PSSJM7J9U,61.12,07/08/2016,21993,3034,7.2,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,1,1,1792,0.06,3,18,16.67,1792,25,25,0,0,0,0,29,2,121,132,11,39,39,0,367
"Professor Mike West: Structured Dynamic Graphical Models & Scaling Multivariate Time Series",nw9KjLBWf2o,73.77,08/01/2016,10444,1019,10.2,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,8,0,3,0,500,0,3,17,17.65,500,4,4,0,1,2,1,8,0,46,50,4,13,13,0,174
"The Problem of Governance in Distributed Ledger Technologies - Professor Vili Lehdonvirta, OII",eNrzE_UfkTw,25.38,11/11/2016,7830,1125,7,27.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,379,0.53,9,38,23.68,379,8,8,0,0,0,0,22,0,23,28,5,12,12,0,130
"Professor Mark Newman: ""Epidemics, Erdos numbers, and the Internet""",gPSt-xs_zWQ,55.47,04/01/2016,7714,693,11.1,20.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,363,0.55,4,14,28.57,363,10,10,0,0,0,0,10,1,40,40,0,8,8,0,129
"Turing Lecture: Smarter Cities - 2pm",L-QzV_SE_Nw,193.52,11/22/2016,7098,171,41.5,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,130,6,6,0,0,0,0,3,0,1,1,0,1,1,0,118
"Professor Mihaela van der Schaar, Oxford University",UyJvV0cxKmA,28.3,10/24/2016,6901,1421,4.9,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,13,0,1,0,270,0,10,27,37.04,270,10,10,0,0,0,0,9,0,11,11,0,7,7,0,115
"Professor Gareth Roberts: ""New challenges in Computational Statistics""",uqRYfAX_2z0,63.82,03/30/2016,6535,756,8.6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,490,0,0,2,0,490,4,4,0,0,0,0,9,0,34,37,3,11,11,0,109
"Turing Lecture: Professor Jon Crowcroft, Cambridge University",UIH0Km4MnkU,58.53,11/04/2016,6478,866,7.5,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,0,2,0,422,0,6,23,26.09,422,5,6,1,0,0,0,8,3,16,19,3,6,6,0,108
"Professor Helen Margetts: ""The Data Science of Politics""",LH3vvA7PL1U,62.08,03/31/2016,6397,778,8.2,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,1,376,0.27,2,12,16.67,376,4,4,0,0,0,0,6,0,49,50,1,6,6,0,107
"Professor Peter O’Hearn: ""Reasoning with Big Code""",lcVx3g3SmmY,53.25,05/03/2016,5930,753,7.9,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,10,0,2,0,365,0,0,4,0,365,4,4,0,0,0,0,12,0,39,43,4,10,10,0,99
"Professor Zoubin Ghahramani, Cambridge University",qGvB0qno9OY,164.2,10/24/2016,5922,749,7.9,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,219,0,6,21,28.57,219,10,10,0,0,0,0,12,1,41,42,1,10,10,0,99
"Turing Lecture: Stats, Decision Making and Privacy",op8nMaD3lBY,184.7,12/01/2016,5442,181,30.1,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,1,1,1,0,91
"Turing Lecture: Data Science for Medicine",pp81ZiH8QtA,94.78,05/04/2017,5054,366,13.8,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,25,4,7,9,2,0,0,0,4,0,7,7,0,0,0,0,84
"Turing Lecture: Data Science, National Security and Systems Challenges - 2pm",5Vllceg838I,240.82,11/01/2016,4972,127,39.1,16.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,4,4,0,0,0,0,1,0,5,5,0,1,1,0,83
"Centrally Banked Cryptocurrencies - Dr Sarah Meiklejohn, UCL",y8D8CBvs6iY,32.62,11/11/2016,4725,1735,2.7,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,50,0,1,0,88,0,0,12,0,88,1,2,1,56,59,3,4,17,10,14,4,3,3,0,79
